Site,Latitude,(deg),Longitude,(deg),EllipElev,(m),X,(m),Y,(m),Z,(m),Epoch,(yr),Net,Status,Last,yr.doy,Ant,Hght(m),Type,Dome
BIGD,47.93329277,-118.98883517,493.3190,-2075010.49447,-3745138.94156,4712276.29985,2022.7616,WSRN,ACTIVE,2023.345,0.0000,SEPCHOKE_B3E6,SPKE
BILL,33.57824498,-117.06460592,470.0224,-2420421.00360,-4737131.12148,3507827.82658,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
BILS,47.53934423,-124.25252661,38.3874,-2427910.96827,-3565526.87569,4682480.21293,2022.7616,WSRN,ACTIVE,2023.335,0.0000,TRM115000.00+S,SCIT
BKAP,35.28704686,-116.08042714,251.9453,-2291496.30696,-4681573.25537,3664053.21906,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.80,SCIT
BKMS,33.96226020,-118.09470493,10.9867,-2493862.17721,-4671627.86280,3542981.43388,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH701945B_M,SCIT
BLSA,33.79954557,-118.02868303,-23.1647,-2493192.05923,-4683354.70622,3527978.71204,2022.7616,CRTN,ACTIVE,2022.354,0.0083,TPSCR.G3,SCIT
BLY1,42.40684406,-121.04906746,1313.4119,-2433211.45569,-4041699.61138,4279965.48865,2022.7616,ORGN,ACTIVE,2023.275,0.0000,SEPCHOKE_B3E6,SPKE
BLYT,33.61041396,-114.71485351,85.8550,-2223206.95049,-4830299.71070,3510587.47258,2022.7616,SCGN,ACTIVE,2023.345,0.0332,TWIVC6150,SCIS
BMHL,34.25144428,-116.05298122,722.6043,-2318200.00722,-4741880.57041,3569941.96099,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
BOMG,33.36462832,-115.72970788,-84.2380,-2314878.91025,-4803587.61792,3487757.91395,2022.7616,SCGN,ACTIVE,2023.345,0.0350,TRM57971.00,NONE
BPKT,46.88315404,-120.32712359,564.5263,-2205341.89072,-3769892.26878,4633308.21536,2022.7616,WSRN,ACTIVE,2023.345,0.0000,SEPCHOKE_B3E6,SPKE
